Namecoin Mining Distribution
Block: 483430
10 Dec 2019 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%  16,236,877,408      100.00%               0           

              F2Pool       17.65%   2,865,331,307        0.00%               0                     79.17%
              Poolin       17.65%   2,865,331,307        0.00%               0                     87.50%
             BTC.com       16.18%   2,626,553,698        0.00%               0                     72.73%
             BTC.TOP        9.56%   1,552,054,458        0.00%               0                     92.31%
              ViaBTC        8.82%   1,432,665,653        0.00%               0                     91.67%
              1THash        7.35%   1,193,888,044        0.00%               0                     80.00%
            BytePool        7.35%   1,193,888,044        0.00%               0                     80.00%
           SlushPool        6.62%   1,074,499,240        0.00%               0                     55.56%
          Huobi.pool        3.68%     596,944,022        0.00%               0                    100.00%
          SpiderPool        2.21%     358,166,413        0.00%               0                     66.67%
             AntPool        1.47%     238,777,608        0.00%               0                    100.00%
             Unknown        0.74%     119,388,804        0.00%               0                    100.00%
             WAYI.CN        0.74%     119,388,804        0.00%               0                    100.00%
