Namecoin Mining Distribution
Block: 463836
31 Jul 2019 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%  12,537,937,266      100.00%               0           

              F2Pool       17.78%   2,228,966,625        0.00%               0                     75.00%
              Poolin       14.81%   1,857,472,187        0.00%               0                     85.00%
             AntPool       13.33%   1,671,724,968        0.00%               0                     88.89%
             BTC.com       13.33%   1,671,724,968        0.00%               0                     83.33%
             BTC.TOP       10.37%   1,300,230,531        0.00%               0                     92.86%
              ViaBTC        8.15%   1,021,609,703        0.00%               0                    100.00%
          Huobi.pool        7.41%     928,736,093        0.00%               0                    100.00%
           SlushPool        6.67%     835,862,484        0.00%               0                    100.00%
               Bixin        3.70%     464,368,046        0.00%               0                    100.00%
          okpool.top        3.70%     464,368,046        0.00%               0                     80.00%
             Unknown        0.74%      92,873,609        0.00%               0                    100.00%
